text,isDeleted,favorites,retweets,day,contains_word,wall,fake_news,media,democrat,great,proud_boys,election_period
thank you libertarians we are getting it all done and fast vote trump ,f,59384,13788,2020-10-16,0,0,0,0,0,0,0,Post
the process has long begun happening fast ,f,31396,8137,2020-10-16,0,0,0,0,0,0,0,Post
heading to georgia now see you soon,f,313859,38244,2021-01-04,0,0,0,0,0,0,0,Post
this is good news it means i wonâ cc   ,f,258866,55635,2020-11-10,0,0,0,0,0,0,0,Post
on my way see you soon ,f,185691,33097,2021-01-05,0,0,0,0,0,0,0,Post
and i won the election voter fraud all over the country ,f,246973,54880,2020-11-18,0,0,0,0,0,0,0,Post
dominion is running our election rigged ,f,163578,40680,2020-11-16,0,0,0,0,0,0,0,Post
the worst polling ever and then theyâ€™ll be back in four years to do it again this is much more then voter and caign finance suppression,f,156817,28082,2020-11-10,0,0,0,0,0,0,0,Post
thank you ohio vote ,f,74088,12731,2020-10-25,0,0,0,0,0,0,0,Post
what a terrible thing for biden to say rigged election ,f,59144,14564,2020-10-25,0,0,0,0,0,0,0,Post
i strongly stand with kelly  david they are both great and must win ,f,122871,21461,2020-11-16,1,0,0,0,0,1,0,Post
landed in wisconsin big crowd on my way,f,168796,18240,2020-10-25,0,0,0,0,0,0,0,Post
as i have long said  and the others would only announce a vaccine after the election because they didnâ€™t have the courage to do it before likewise the  should have announced it earlier not for political purposes but for saving lives,f,292245,59870,2020-11-10,0,0,0,0,0,0,0,Post
abcwapo had me down 17 points in wisconsin the day before the election and i won in iowa the polls had us 4 points down and i won by 82 fox news and quinnipiac were wrong on everything,f,152654,27735,2020-11-10,0,0,0,0,0,0,0,Post
  abcwapo nbcwsj were so inaccurate with their polls on me that it really is tering with an election they were so far off in their polling and in their attempt to suppress  that they should be called out for election interference,f,254530,53987,2020-11-10,0,0,0,0,0,0,0,Post
pleased to announce that    have just joined our great stopthesteal group of senators they will fight the ridiculous electoral college certification of biden how do you certify numbers that have now proven to be wrong and in many cases fraudulent,f,177332,42347,2021-01-05,1,0,0,0,0,1,0,Post
if joe biden were president you wouldnâ€™t have the vaccine for another four years nor would the  have ever approved it so quickly the bureaucracy would have destroyed millions of lives,f,332731,56327,2020-11-10,0,0,0,0,0,0,0,Post
the  and the democrats didnâ€™t want to have me get a vaccine win prior to the election so instead it came out five days later â€“ as iâ€™ve said all along,f,378553,71310,2020-11-10,1,0,0,0,1,0,0,Post
who will be running for governor of the great state of ohio will be hotly contested,f,218908,30412,2020-11-16,1,0,0,0,0,1,0,Post
another vaccine just announced this time by moderna 95 effective for those great â€œhistoriansâ€ please remember that these great discoveries which will end the china plague all took place on my watch,f,318583,51556,2020-11-16,1,0,0,0,0,1,0,Post
the fake recount going on in georgia means nothing because they are not allowing signatures to be looked at and verified break the unconstitutional consent decree,f,254635,50961,2020-11-16,0,0,0,0,0,0,0,Post
georgia get out and vote for two great senators  and  so important to do so,f,215340,41746,2021-01-05,1,0,0,0,0,1,0,Post
see you in dc ,f,127896,25649,2021-01-05,0,0,0,0,0,0,0,Post
floyd county georgia ,f,182698,52653,2020-11-18,0,0,0,0,0,0,0,Post
and a great show by  tonight watched it on way from ohio to wisconsin ,f,46814,7490,2020-10-25,1,0,0,0,0,1,0,Post
the vice president has the power to reject fraudulently chosen electors,f,429984,90069,2021-01-05,0,0,0,0,0,0,0,Post
this was a rigged election no republican poll watchers allowed voting machine â€œglitchesâ€ all over the place meaning they got caught cheating voting after election ended and so much more ,f,141951,33060,2020-11-18,0,0,0,0,0,0,0,Post
law enforcement is watching and involved so di
